File Date,Trade Date,Form,Insider,Ticker,Security Title,Code,10b5-1,Direct,Exercise Price,Unit Price,Units Changed,Value Changed (1K),Remaining Options,Remaining Shares
2022-01-04,2021-12-30,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,S - Sale,,I,nan,0.6200,"-34,410",-21,nan,"24,394,846"
2021-11-17,2021-11-15,4,"Mudrick Capital Management, L.P.",HYMC,Restricted Stock Units,M - Exercise,,I,nan,nan,"-10,095",nan,0,nan
2021-11-17,2021-11-15,4,"Mudrick Capital Management, L.P.",HYMC,Restricted Stock Units,M - Exercise,,I,nan,nan,"-2,243",nan,0,nan
2021-11-17,2021-11-15,4,"Mudrick Capital Management, L.P.",HYMC,Restricted Stock Units,M - Exercise,,I,nan,nan,"-10,135",nan,0,nan
2021-11-17,2021-11-15,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,M - Exercise,,I,nan,nan,"10,135",nan,nan,"24,429,256"
2021-11-17,2021-11-15,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,M - Exercise,,I,nan,nan,"2,243",nan,nan,"24,419,121"
2021-11-17,2021-11-15,4,"Mudrick Capital Management, L.P.",HYMC,Class A Common Stock,M - Exercise,,I,nan,nan,"10,095",nan,nan,"24,416,878"
2021-11-12,2021-11-12,4,WHITEBOX ADVISORS LLC,HYMC,Warrant,S - Sale,,I,11.50,0.1475,"-50,000",-7,"137,252",nan
2021-11-12,2021-11-12,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,1.0424,"-38,299",-40,nan,"8,552,518"
2021-11-12,2021-11-11,4,WHITEBOX ADVISORS LLC,HYMC,Warrant,S - Sale,,I,11.50,0.1654,"-125,000",-21,"187,252",nan
2021-11-12,2021-11-11,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,1.0568,"-81,125",-86,nan,"8,590,817"
2021-11-12,2021-11-10,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,1.0724,"-71,375",-77,nan,"8,671,942"
2021-09-07,2021-09-07,4,WHITEBOX ADVISORS LLC,HYMC,Warrant,S - Sale,,I,11.50,0.2434,"-272,822",-66,"312,252",nan
2021-09-07,2021-09-03,4,WHITEBOX ADVISORS LLC,HYMC,Warrant,S - Sale,,I,11.50,0.3185,"-327,943",-104,"585,074",nan
2021-09-07,2021-09-02,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,1.8500,"-3,200,000","-5,920",nan,"8,743,317"
2021-08-31,2021-08-27,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,2.0200,"-173,560",-351,nan,"5,995,316"
